CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
12001000901,Florida,Alachua,1,2877,476,1,2038,0.7083768,0,1,0,0,0,1,37.1,23393,0,1,0,1,0,0,0,0,103.7619781,1858.334158,103.7619781,93.52989197,1675.081778,93.52989197,1858.334158,0.645927757,1675.081778,0.582232109,68.86202377,0.023935358,0.003548555,1.23342E-06,1329.137476,0.461987305,198.513437,0.069000152,228.4081786,0.079391094,0.999999993,0.000347584,4.007096855,0.001392804,97.26796463,0.033808816,225.2818944,0.078304447,50.24186393,0.105550134,15.29100143,0.032123953,103.7619781,0.036066033,93.52989197,0.032509521,0.857537031,0.000298066,0,0,83.3526001,0.028972054,4.973714828,0.001728785,10.29044437,0.003576797,0,0,0,0,5.145222187,0.001788398,11.83401108,0.004113316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,142,2,1808,320,569,1,6,173,370,115,35
12001000902,Florida,Alachua,1,5926,36,1,5873,0.9910564,0,1,0,0,0,1,29.6,0,0,1,0,1,0,0,0,0,9,5179.326168,9,2.666666746,391.9999779,2.666666746,5179.326168,0.874000366,391.9999779,0.066149169,23.84724066,0.004024172,0,0,3793.893602,0.640211543,645.3761608,0.108905866,433.4172118,0.07313824,1.00000003,0.000168748,8.694480685,0.001467175,296.9448106,0.05010881,884.2375159,0.149213216,14.39999963,0.39999999,7.199999813,0.199999995,9,0.001518731,2.666666746,0.000449994,0,0,0,0,9,0.001518731,0,0,0,0,0,0,0,0,0,0,1,0.000168748,2.400000095,0.066666669,1.200000048,0.033333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,0,4267,794,499,3,9,354,1023,8,4
12001001000,Florida,Alachua,1,6207,2758,0,152,0.0244885,0,1,0,1,1,1,50.3,118510,0,1,0,1,0,0,0,1,0,3162.407832,0,0,1664.066344,0,3162.407832,0.509490548,1664.066344,0.268095109,251.9974107,0.040598906,355.255862,0.057234713,2929.907352,0.472032762,63.40348783,0.010214836,70.40894747,0.011343475,0,0,3.410839396,0.000549515,95.27717982,0.015349956,260.8083149,0.042018417,143.2032605,0.051922865,104.9751803,0.038062067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,412,565,5622,149,189,2,13,232,644,358,203
12001001100,Florida,Alachua,1,6438,2938,0,0,0,0,0,0,0,0,0,4.8,96339,0,1,0,1,0,0,0,0,294.0350042,3718.924794,294.0350042,27.45713401,532.5871002,27.45713401,3718.924794,0.577652189,532.5871002,0.082725551,648.7414198,0.10076754,712.6185697,0.110689433,3302.217481,0.512925983,173.1192198,0.026890217,134.3798252,0.020872915,2.701285912,0.000419585,8.150021834,0.001265924,98.35695712,0.015277564,230.1207244,0.035744132,76.66010498,0.026092616,30.13785108,0.010257948,294.0350042,0.045671793,27.45713401,0.004264855,52.17698768,0.008104534,42.55736645,0.00661034,257.4138423,0.039983511,19.46771658,0.003023876,2.538360813,0.000394278,0,0,1,0.000155328,13.61508247,0.0021148,35.42993335,0.005503252,3.514616845,0.001196262,2.500613675,0.000851128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,1029,1468,5650,352,232,5,14,185,383,161,55
12001001201,Florida,Alachua,1,2906,1233,0,0,0,0,0,0,0,0,0,15.5,84260,0,1,0,1,0,0,0,0,223.4358203,2215.530779,223.4358203,87.33440077,865.9849231,87.33440077,2215.530779,0.762398754,865.9849231,0.297998941,446.4262355,0.153622242,288.6388769,0.099325147,1682.997997,0.579145904,258.2975586,0.088884225,172.8034134,0.059464354,0,0,8.98044073,0.00309031,92.45135544,0.031813956,196.1957589,0.067514026,64.82863388,0.052577967,77.9584841,0.06322667,223.4358203,0.076887756,87.33440077,0.030053132,38.7878007,0.013347488,26.77035546,0.009212098,168.1160934,0.057851374,28.04983099,0.009652385,18.21018584,0.006266409,0,0,0.592948385,0.000204043,8.466750026,0.002913541,18.57407741,0.00639163,6.17870747,0.005011117,7.430091047,0.006026027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,590,409,2251,317,199,0,11,128,257,79,95
12001001202,Florida,Alachua,1,6914,2983,0,9,0.0013017,0,0,0,0,1,0,15.2,69733,1,1,1,1,1,0,0,1,1478.094279,5496.403217,1478.094279,338.8018731,1505.122132,338.8018731,5496.403217,0.794967199,1505.122132,0.217691949,1107.993432,0.160253606,525.5306887,0.076009645,4221.290436,0.610542441,669.7925326,0.096874824,338.053762,0.048894093,6.129927389,0.000886596,14.49804325,0.002096911,246.6385184,0.035672334,527.1601521,0.076245321,154.0585783,0.051645517,198.4446454,0.066525191,1478.094279,0.2137828,338.8018731,0.049002296,270.4246792,0.039112624,137.7590013,0.019924646,1180.421983,0.170729243,154.0925943,0.02228704,76.11353895,0.011008611,4,0.000578536,2.616661976,0.000378458,60.84948172,0.008800909,136.7257458,0.019775202,43.13089237,0.014458898,54.75612124,0.018356058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2079,1441,637,5211,884,457,8,19,335,708,218,246
12001001203,Florida,Alachua,1,3657,1668,0,13,0.0035548,0,1,0,0,0,1,30.2,56755,0,1,0,1,0,0,0,0,0,2017.841264,0,0,871.6188053,0,2017.841264,0.551775024,871.6188053,0.238342577,393.4538478,0.107589239,150.7411954,0.041219906,1426.173879,0.389984654,407.8145091,0.111516136,78.9870201,0.021598857,0,0,6.36927629,0.001741667,98.49659658,0.026933715,148.1845294,0.04052079,99.75722806,0.059806492,125.1671307,0.075040246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,668,242,2595,699,160,0,11,192,280,155,224
12001001400,Florida,Alachua,1,4585,942,0,2070,0.4514722,1,1,1,1,1,1,35.6,39722,1,1,1,1,1,0,0,1,4564.542028,4584.999944,4564.542028,2544.228753,2556.617157,2544.228753,4584.999944,0.999999988,2556.617157,0.557604614,654.9999933,0.142857141,283.9999985,0.061941112,1809.999973,0.394765534,2620.999984,0.57164667,12.99999982,0.002835333,2,0.000436205,9.99999974,0.002181025,128.9999982,0.028135223,193.9999964,0.042311886,104.2400122,0.110658187,199.4324284,0.211711707,4564.542028,0.995538065,2544.228753,0.554902672,654.3490777,0.142715175,283.5349617,0.061839686,1802.92635,0.393222759,2607.968861,0.56880455,12.98141194,0.002831279,2,0.000436205,9.99999974,0.002181025,128.6654164,0.02806225,193.2564812,0.042149723,104.1445151,0.11055681,199.2158086,0.21148175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,655,284,1810,2621,13,2,10,129,194,102,188
12001001514,Florida,Alachua,1,1281,714,0,0,0,0,1,0,0,0,1,47.1,31019,0,1,0,1,0,0,0,0,20.80671895,842.8692995,20.80671895,17.04741228,665.5162537,17.04741228,842.8692995,0.657977595,665.5162537,0.519528691,16.70892595,0.013043658,8.417852019,0.006571313,630.535564,0.492221361,48.08926046,0.037540406,130.1177088,0.101575104,0,0,1,0.00078064,33.12677769,0.025860092,134.50711,0.105001647,83.97553206,0.11761279,54.04584949,0.075694467,20.80671895,0.01624256,17.04741228,0.013307894,0.360289512,0.000281256,0,0,17.38396835,0.013570623,0.990796167,0.000773455,1.801447533,0.001406282,0,0,0,0,0.630506624,0.000492199,2.792243823,0.002179738,3.055532113,0.004279457,1.406583562,0.001970005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,59,12,804,127,263,1,1,85,196,134,75
12001001515,Florida,Alachua,1,6343,2843,0,0,0,0,1,0,1,1,1,59.4,22128,0,1,0,1,0,0,0,1,110.0993701,4781.519762,110.0993701,88.24290524,3795.674391,88.24290524,4781.519762,0.753826228,3795.674391,0.598403656,313.0112132,0.049347503,27.25286779,0.004296527,2848.23044,0.449035226,1053.377196,0.166069241,539.4394242,0.085044841,1,0.000157654,11.59305679,0.001827693,327.8796204,0.051691569,740.6759707,0.116770609,261.8833469,0.092115141,180.0741308,0.063339476,110.0993701,0.017357618,88.24290524,0.013911856,9.727700591,0.001533612,1.298439931,0.000204704,62.1456117,0.009797511,27.57447503,0.004347229,14.1865983,0.002236575,0,0,0.104194059,1.64266E-05,6.08849127,0.000959876,13.42066727,0.002115823,5.557379011,0.001954759,4.426095175,0.00155684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006,398,71,3773,1305,832,1,20,412,959,306,194
12001001516,Florida,Alachua,1,2149,1129,0,0,0,1,1,1,1,1,1,48.4,14359,1,1,1,1,1,0,0,1,512.2443733,2148.999995,512.2443733,314.7622738,1407.467391,314.7622738,2148.999995,0.999999997,1407.467391,0.654940619,141.0000005,0.065611913,16.99999969,0.007910656,1414.999995,0.658445787,349.0000032,0.162401118,216.9999984,0.100977198,0,0,8.999999911,0.004187994,158.9999998,0.073987901,281.9999949,0.131223823,113.6699262,0.100681954,168.6324174,0.149364409,512.2443733,0.238364064,314.7622738,0.146469183,21.32908523,0.009925121,8.052888058,0.003747272,327.7108746,0.15249459,71.30228376,0.033179285,73.12322927,0.034026631,0,0,4.428279638,0.002060623,35.67972541,0.016602943,67.30874443,0.031320961,16.6737597,0.014768609,33.10244703,0.029320148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,141,17,1415,349,217,0,9,159,282,93,141
12001001517,Florida,Alachua,1,4734,2205,0,158,0.0333756,0,1,0,0,0,1,60.6,25767,0,1,0,1,0,0,0,0,0,3015.66484,0,0,2381.431434,0,3015.66484,0.637022569,2381.431434,0.503048465,175.8104624,0.037137825,69.94733423,0.014775525,1830.859725,0.386746879,639.7557222,0.135140626,338.3868617,0.071480114,3.959476784,0.000836391,1.746969014,0.000369026,200.9560692,0.042449529,478.1597805,0.101005446,59.33801881,0.026910666,124.1402793,0.056299446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961,328,161,2787,1085,546,5,5,306,663,121,180
12001001519,Florida,Alachua,1,2559,905,0,0,0,0,0,0,0,0,1,60.2,23300,0,0,0,0,0,0,0,0,0,363.427021,0,0,281.2284317,0,363.427021,0.142019156,281.2284317,0.109897785,17.0531143,0.006663976,1.397796206,0.000546228,222.2496071,0.086850179,75.76055527,0.029605532,40.81565022,0.015949844,0.279559245,0.000109246,0.559118491,0.000218491,23.76253593,0.009285868,62.90083075,0.024580239,43.35949445,0.047911044,27.20067596,0.030055996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,90,5,1365,421,604,1,9,159,361,322,202
12001001520,Florida,Alachua,1,2482,1054,0,113,0.0455278,0,1,0,1,1,1,50.9,28333,0,1,0,1,0,0,0,1,0.066129856,1551.473012,0.066129856,0.04838925,1135.260532,0.04838925,1551.473012,0.625089852,1135.260532,0.457397474,132.9564156,0.053568258,61.99403172,0.02497745,965.318859,0.388927824,353.562196,0.142450522,113.4961299,0.045727691,2.234715093,0.000900369,4.558678718,0.001836696,112.3024241,0.045246746,272.5412541,0.109807113,103.0219727,0.097743807,68.90873813,0.065378309,0.066129856,2.66438E-05,0.04838925,1.94961E-05,0,0,0,0,0,0,0.066129856,2.66438E-05,0,0,0,0,0,0,0,0,0,0,0.003594531,3.41037E-06,0.002404289,2.28111E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,212,113,1526,589,187,4,5,171,403,151,101
